,Comunidade,C.grau,C.clustering,C.closeness,C.cf.closeness,C.betweenness,C.cf.betweenness,C.load,C.harmonic
Bras de Pina,1,0.12582781456953643,0.31246302509079754,0.3775,0.022156080865277334,0.015894039735099338,0.04263091194735046,0.015894039735099338,58.5833333333334
Cachambi,2,0.152317880794702,0.4104314150553253,0.4037433155080214,0.02381146879437606,0.019072847682119205,0.04316328153240009,0.019072847682119205,58.516666666666694
Cacuia,0,0.09271523178807947,0.3040486742923384,0.35362997658079626,0.017723134843603775,0.030022075055187638,0.048615483769688,0.030022075055187638,58.78333333333337
Caju,1,0.06622516556291391,0.3777908213430492,0.3275488069414317,0.01661011001084464,0.0023841059602649007,0.02679039746994517,0.0023841059602649007,63.80000000000008
Camorim,0,0.0728476821192053,0.44634121754962064,0.35697399527186763,0.018121466601463448,0.020044150110375275,0.03839185326463258,0.020044150110375275,61.850000000000044
Campinho,2,0.052980132450331126,0.2988860190612674,0.3586698337292161,0.01539421070720366,0.004856512141280353,0.025344511487729128,0.004856512141280353,63.900000000000055
Cascadura,3,0.1456953642384106,0.37446186665428716,0.352803738317757,0.022975466331753607,0.01086092715231788,0.033255189164429114,0.01086092715231788,71.20000000000002
Catete,2,0.12582781456953643,0.38879728687006804,0.32196162046908317,0.022094882311951378,0.001501103752759382,0.03146309041444218,0.001501103752759382,56.016666666666694
Catumbi,1,0.09933774834437085,0.23593068698176525,0.3691931540342298,0.01989735364524546,0.02913907284768212,0.04937098057902872,0.02913907284768212,54.31666666666671
Cavalcanti,3,0.1456953642384106,0.4602482745689115,0.3378076062639821,0.023128168683253788,0.0009713024282560706,0.025707833783793852,0.0009713024282560706,61.38333333333339
Cidade de Deus,4,0.013245033112582781,0.0,0.2431561996779388,0.00460114211781716,0.003002207505518764,0.012223272094207935,0.003002207505518764,64.80000000000005
Cidade Nova,2,0.07947019867549669,0.38931450060596307,0.34553775743707094,0.019327798201762343,0.005298013245033113,0.03483943755420154,0.005298013245033113,67.75000000000006
Cocota,0,0.06622516556291391,0.5542931658602149,0.32264957264957267,0.015877216659147646,0.004591611479028698,0.021455763302326788,0.004591611479028698,60.2500000000001
Coelho Neto,1,0.11920529801324503,0.33500581739422974,0.36739659367396593,0.021930553417741788,0.006445916114790287,0.03298143153239717,0.006445916114790287,66.56666666666672
Colegio,1,0.18543046357615894,0.3111956829585222,0.36650485436893204,0.024438218833509193,0.02119205298013245,0.04679365219723067,0.02119205298013245,65.03333333333336
Complexo do Alemao,1,0.09933774834437085,0.2813090324060201,0.3511627906976744,0.020397654005281707,0.020132450331125828,0.05295337624747414,0.020132450331125828,61.25000000000004
Copacabana,2,0.08609271523178808,0.5363819700497773,0.31069958847736623,0.0195937883759776,0.0005298013245033113,0.017745118490927716,0.0005298013245033113,59.0333333333334
Cordovil,1,0.152317880794702,0.2656251933134414,0.38817480719794345,0.02354974662806711,0.024370860927152318,0.05364740353584861,0.024370860927152318,58.966666666666704
Cosme Velho,2,0.1390728476821192,0.33272419739772013,0.3552941176470588,0.022522997168354084,0.006004415011037528,0.04342576668293234,0.006004415011037528,62.30000000000004
Cosmos,3,0.10596026490066225,0.48430353547759647,0.35362997658079626,0.02131798958812424,0.0012362030905077263,0.031842008590605674,0.0012362030905077263,46.18333333333337
Costa Barros,1,0.17218543046357615,0.30483079237988653,0.3775,0.02409268260002289,0.032317880794701985,0.049706996656582174,0.032317880794701985,57.966666666666704
Curicica,4,0.033112582781456956,0.20476036263110461,0.26868327402135234,0.008013437852172536,0.016158940397350992,0.031946740120663446,0.016158940397350992,70.53333333333333
Del Castilho,1,0.07947019867549669,0.2812460762529713,0.36650485436893204,0.0190822775774746,0.018454746136865343,0.044944093951604355,0.018454746136865343,71.2
Deodoro,3,0.12582781456953643,0.3227748999469813,0.3691931540342298,0.02174878165993517,0.041766004415011035,0.03973124381489911,0.041766004415011035,68.33333333333337
Encantado,2,0.12582781456953643,0.4736899545574239,0.37844611528822053,0.022952730738615926,0.0006181015452538631,0.04035787451498976,0.0006181015452538631,71.61666666666669
