,Comunidade,C.grau,C.clustering,C.closeness,C.cf.closeness,C.betweenness,C.cf.betweenness,C.load,C.harmonic
Cachambi,0,0.4930555555555555,0.6076325000626174,0.5925925925925926,0.031326824991918564,0.020590520590520592,0.03218153537897239,0.020590520590520592,82.14999999999999
Cacuia,0,0.18055555555555555,0.6309841288328151,0.46905537459283386,0.027882694721099575,0.0020396270396270395,0.013168783715165477,0.0020396270396270395,96.08333333333333
Caju,1,0.006944444444444444,0.0,0.28402366863905326,0.0047364413381218735,0.0,2.0358402005558425e-17,0.0,78.93333333333332
Camorim,3,0.034722222222222224,0.7461402302919172,0.19072847682119207,0.0038630363807904827,9.712509712509713e-05,0.01133147977477193,9.712509712509713e-05,61.102380952381004
Campinho,0,0.625,0.542372930020572,0.6371681415929203,0.03179714244634892,0.006701631701631702,0.03208204259370232,0.006701631701631702,96.58333333333333
Cascadura,2,0.5208333333333333,0.5844293345165158,0.582995951417004,0.03143138007639061,0.014083139083139084,0.02890923120260942,0.014083139083139084,86.7333333333333
Catete,4,0.0625,0.5860530287490486,0.3891891891891892,0.02034184135085748,0.005147630147630148,0.01902155601131298,0.005147630147630148,94.16666666666667
Catumbi,1,0.3055555555555555,0.6385307002651245,0.5034965034965035,0.02995793961264665,0.017094017094017096,0.03387639309020535,0.017094017094017096,34.057936507936496
Cavalcanti,2,0.41666666666666663,0.6466797250671559,0.5333333333333333,0.03091059668608115,0.011655011655011656,0.024572613836998575,0.011655011655011656,90.73333333333333
Cidade de Deus,0,0.3055555555555555,0.7387451937249452,0.5070422535211268,0.029966335834699855,0.008352758352758352,0.013077744723026597,0.008352758352758352,41.95476190476192
Cidade Nova,1,0.027777777777777776,0.4646033520771004,0.3673469387755102,0.013889027950996015,0.001554001554001554,0.00651321845800126,0.001554001554001554,106.98333333333332
Cocota,0,0.1875,0.8289300633196929,0.4430769230769231,0.0280724434106551,0.0003885003885003885,0.008998184770742101,0.0003885003885003885,96.18333333333332
Coelho Neto,2,0.1875,0.8601704154182159,0.46006389776357826,0.028067590684135203,0.0010683760683760685,0.008556266555405518,0.0010683760683760685,105.24999999999999
Colegio,2,0.38888888888888884,0.6289307756455569,0.5179856115107914,0.030720464144760436,0.004176379176379176,0.021338234804204603,0.004176379176379176,94.00000000000001
Complexo do Alemao,1,0.2361111111111111,0.6181365354997442,0.4630225080385852,0.029044211827510675,0.000777000777000777,0.015453101804299998,0.000777000777000777,99.46666666666664
Copacabana,4,0.013888888888888888,0.955300511926962,0.21686746987951808,0.0042412398454554434,0.0,0.007618257137199894,0.0,77.4
Cordovil,1,0.548611111111111,0.5503406594150996,0.5925925925925926,0.03153342454249615,0.013111888111888112,0.030191548902906783,0.013111888111888112,68.81666666666668
Cosme Velho,0,0.2361111111111111,0.7125889048779686,0.4752475247524752,0.029061462421239834,0.046134421134421136,0.026546996283371937,0.046134421134421136,78.4
Cosmos,2,0.11805555555555555,0.8239923724470684,0.4350453172205438,0.02558388306888661,0.0,0.020022202304331216,0.0,107.43333333333332
Costa Barros,2,0.21527777777777776,0.6861247968875954,0.4675324675324675,0.028667367759186897,0.002233877233877234,0.014219930196972503,0.002233877233877234,83.33333333333333
Curicica,0,0.4375,0.6196124580567709,0.5625,0.03103789168404214,0.04671717171717172,0.03968992182439007,0.04671717171717172,38.570238095238096
Del Castilho,1,0.29166666666666663,0.6686105449003772,0.5124555160142349,0.02984091565294966,0.010003885003885004,0.02151445678238701,0.010003885003885004,111.93333333333332
Deodoro,2,0.2708333333333333,0.5870462176069587,0.49146757679180886,0.029594216440377102,0.0101010101010101,0.03248967761066748,0.0101010101010101,66.0166666666667
Encantado,0,0.5,0.6260139015158236,0.5925925925925926,0.031343177852045184,0.01116938616938617,0.02496348316584905,0.01116938616938617,64.66666666666671
Engenheiro Leal,2,0.3819444444444444,0.6617882936937123,0.5255474452554745,0.03069173412828313,0.004856254856254856,0.02209400242152314,0.004856254856254856,98.14999999999999
Engenho da Rainha,0,0.5,0.6213524071506692,0.5901639344262295,0.0313395361360669,0.015151515151515152,0.02533503012880445,0.015151515151515152,71.38333333333334
Engenho de Dentro,0,0.5347222222222222,0.613248841322034,0.6050420168067226,0.0314992905709148,0.0017482517482517483,0.02661511816291916,0.0017482517482517483,107.76666666666665
Engenho Novo,0,0.5972222222222222,0.5645655836387262,0.6260869565217392,0.03171344802571739,0.006507381507381507,0.030089228784768638,0.006507381507381507,45.27857142857145
Estacio,1,0.24305555555555555,0.6135568519420241,0.4768211920529801,0.029159042671669102,0.02292152292152292,0.02783463539712143,0.02292152292152292,76.01666666666668
Flamengo,4,0.05555555555555555,0.4638577647771724,0.3711340206185567,0.01879229462442255,0.03885003885003885,0.04963267694846211,0.03885003885003885,105.09999999999998
Freguesia Ilha do Governador,0,0.4305555555555555,0.6040013988513037,0.5517241379310345,0.030967554208206214,0.021173271173271172,0.03653503594788187,0.021173271173271172,58.73333333333339
Freguesia de Jacarepagua,0,0.24305555555555555,0.8178358370855822,0.488135593220339,0.02918210275018513,0.0013597513597513598,0.012951817701381485,0.0013597513597513598,94.1
Galeao,1,0.125,0.6395979468417418,0.4472049689440994,0.0258747921078285,0.0011655011655011655,0.008437339470538617,0.0011655011655011655,78.88333333333331
Gamboa,1,0.1597222222222222,0.6175122663370081,0.4458204334365325,0.027160932551505135,0.008935508935508936,0.02065347358733407,0.008935508935508936,95.81666666666666
Gardenia Azul,0,0.2708333333333333,0.7170717651500194,0.5017421602787456,0.02955098144148823,0.015151515151515152,0.020340511249122558,0.015151515151515152,40.82142857142858
Gavea,4,0.027777777777777776,0.9389797214298005,0.3076923076923077,0.013596601545120815,0.0,0.009436385210666644,0.0,92.38333333333334
Gloria,4,0.034722222222222224,0.548878489788545,0.32142857142857145,0.014992374473164934,0.0009712509712509713,0.01288155991135009,0.0009712509712509713,67.88333333333335
Grajau,0,0.24305555555555555,0.5702481435454997,0.4816053511705686,0.02913725278835266,0.016025641025641024,0.03584330136050791,0.016025641025641024,90.8
Guadalupe,2,0.548611111111111,0.5508395327361618,0.5901639344262295,0.03154101056783392,0.009712509712509712,0.0326798122139128,0.009712509712509712,69.23333333333336
Guaratiba,3,0.034722222222222224,0.562603590817002,0.3,0.005252819171936029,0.08041958041958042,0.08061123552415782,0.08041958041958042,88.06666666666666
Higienopolis,2,0.24305555555555555,0.7865680741221658,0.48,0.029147766185050206,0.004467754467754468,0.011295827140878865,0.004467754467754468,109.74999999999999
Honorio Gurgel,2,0.4097222222222222,0.6570466747645892,0.5313653136531366,0.030862817060669956,0.00912975912975913,0.020457217836737995,0.00912975912975913,93.29999999999998
Humaita,4,0.09027777777777778,0.49943573568763444,0.42105263157894735,0.023305724638698573,0.013209013209013208,0.03055824894358756,0.013209013209013208,82.83333333333333
Inhauma,1,0.4444444444444444,0.6406550653104176,0.5625,0.031071364381839522,0.0034965034965034965,0.023559067555705734,0.0034965034965034965,102.26666666666665
Inhoaiba,2,0.125,0.7075190909356035,0.4350453172205438,0.025873193556587473,0.0019425019425019425,0.021858770909764187,0.0019425019425019425,89.5
