,Comunidade,C.grau,C.clustering,C.closeness,C.cf.closeness,C.betweenness,C.cf.betweenness,C.load,C.harmonic
Cavalcanti,2,0.41666666666666663,0.6466797250671561,0.5333333333333333,0.03091059668607938,0.011655011655011656,0.024572613836998745,0.011655011655011656,95.91666666666667
Cidade de Deus,0,0.3055555555555555,0.7387451937249452,0.5070422535211268,0.029966335834698533,0.008352758352758352,0.01307774472302615,0.008352758352758352,82.15000000000003
Cidade Nova,1,0.027777777777777776,0.4646033520771003,0.3673469387755102,0.01388902795099577,0.001554001554001554,0.006513218458001262,0.001554001554001554,85.33333333333334
Cocota,0,0.1875,0.8289300633196931,0.4430769230769231,0.02807244341065397,0.0003885003885003885,0.008998184770742,0.0003885003885003885,113.76666666666668
Coelho Neto,1,0.1875,0.8601704154182159,0.46006389776357826,0.028067590684134055,0.0010683760683760685,0.008556266555405659,0.0010683760683760685,38.57023809523809
Colegio,1,0.38888888888888884,0.6289307756455568,0.5179856115107914,0.03072046414475901,0.004176379176379176,0.021338234804207042,0.004176379176379176,111.81666666666666
Complexo do Alemao,1,0.2361111111111111,0.6181365354997442,0.4630225080385852,0.02904421182750955,0.000777000777000777,0.015453101804299929,0.000777000777000777,38.57023809523809
Copacabana,4,0.013888888888888888,0.955300511926962,0.21686746987951808,0.004241239845455417,0.0,0.00761825713719991,0.0,90.73333333333332
Cordovil,1,0.548611111111111,0.5503406594150999,0.5925925925925926,0.031533424542494644,0.013111888111888112,0.03019154890291104,0.013111888111888112,75.48333333333333
Cosme Velho,0,0.2361111111111111,0.7125889048779686,0.4752475247524752,0.029061462421238634,0.046134421134421136,0.02654699628337249,0.046134421134421136,99.93333333333335
Cosmos,2,0.11805555555555555,0.8239923724470684,0.4350453172205438,0.025583883068885642,0.0,0.020022202304333502,0.0,49.38571428571432
Costa Barros,2,0.21527777777777776,0.6861247968875954,0.4675324675324675,0.028667367759185842,0.002233877233877234,0.01421993019697368,0.002233877233877234,72.8166666666667
Curicica,0,0.4375,0.6196124580567709,0.5625,0.03103789168404093,0.04671717171717172,0.039689921824391385,0.04671717171717172,89.50000000000001
Del Castilho,1,0.29166666666666663,0.668610544900377,0.5124555160142349,0.0298409156529484,0.010003885003885004,0.02151445678238747,0.010003885003885004,61.10238095238102
Deodoro,2,0.2708333333333333,0.5870462176069585,0.49146757679180886,0.029594216440375767,0.0101010101010101,0.03248967761067031,0.0101010101010101,96.08333333333333
Encantado,0,0.5,0.6260139015158235,0.5925925925925926,0.03134317785204374,0.01116938616938617,0.024963483165847178,0.01116938616938617,100.88333333333335
Engenheiro Leal,2,0.3819444444444444,0.6617882936937118,0.5255474452554745,0.03069173412828165,0.004856254856254856,0.022094002421523328,0.004856254856254856,108.14999999999999
Engenho da Rainha,1,0.5,0.6213524071506693,0.5901639344262295,0.031339536136065466,0.015151515151515152,0.025335030128802363,0.015151515151515152,78.00000000000001
Engenho de Dentro,0,0.5347222222222222,0.6132488413220342,0.6050420168067226,0.03149929057091341,0.0017482517482517483,0.026615118162921156,0.0017482517482517483,91.13333333333331
Engenho Novo,0,0.5972222222222222,0.5645655836387267,0.6260869565217392,0.03171344802571604,0.006507381507381507,0.030089228784767986,0.006507381507381507,107.10000000000001
Estacio,1,0.24305555555555555,0.6135568519420245,0.4768211920529801,0.029159042671668065,0.02292152292152292,0.027834635397119604,0.02292152292152292,92.81666666666665
Flamengo,4,0.05555555555555555,0.4638577647771724,0.3711340206185567,0.018792294624421953,0.03885003885003885,0.04963267694846222,0.03885003885003885,88.88333333333333
Freguesia Ilha do Governador,0,0.4305555555555555,0.6040013988513038,0.5517241379310345,0.03096755420820487,0.021173271173271172,0.03653503594788182,0.021173271173271172,58.519047619047676
Freguesia de Jacarepagua,0,0.24305555555555555,0.8178358370855823,0.488135593220339,0.02918210275018387,0.0013597513597513598,0.012951817701380682,0.0013597513597513598,91.65000000000002
Galeao,1,0.125,0.6395979468417416,0.4472049689440994,0.02587479210782759,0.0011655011655011655,0.008437339470538688,0.0011655011655011655,85.35
Gamboa,1,0.1597222222222222,0.6175122663370082,0.4458204334365325,0.02716093255150405,0.008935508935508936,0.020653473587334836,0.008935508935508936,61.86666666666673
Gardenia Azul,0,0.2708333333333333,0.717071765150019,0.5017421602787456,0.029550981441486945,0.015151515151515152,0.020340511249126964,0.015151515151515152,34.057936507936496
Gavea,0,0.027777777777777776,0.9389797214298005,0.3076923076923077,0.013596601545120534,0.0,0.00943638521066665,0.0,95.81666666666666
Gloria,4,0.034722222222222224,0.5488784897885451,0.32142857142857145,0.014992374473164588,0.0009712509712509713,0.01288155991134993,0.0009712509712509713,89.85
Grajau,0,0.24305555555555555,0.5702481435454996,0.4816053511705686,0.029137252788351477,0.016025641025641024,0.035843301360507486,0.016025641025641024,109.75000000000001
Guadalupe,2,0.548611111111111,0.5508395327361616,0.5901639344262295,0.031541010567832664,0.009712509712509712,0.032679812213913306,0.009712509712509712,107.43333333333335
Guaratiba,3,0.034722222222222224,0.5626035908170021,0.3,0.005252819171935522,0.08041958041958042,0.0806112355241756,0.08041958041958042,64.26904761904765
Higienopolis,2,0.24305555555555555,0.7865680741221657,0.48,0.02914776618504917,0.004467754467754468,0.011295827140878333,0.004467754467754468,96.58333333333333
Honorio Gurgel,2,0.4097222222222222,0.657046674764589,0.5313653136531366,0.030862817060668676,0.00912975912975913,0.02045721783673779,0.00912975912975913,94.0
Humaita,0,0.09027777777777778,0.4994357356876344,0.42105263157894735,0.023305724638697723,0.013209013209013208,0.030558248943587614,0.013209013209013208,67.78333333333336
Inhauma,1,0.4444444444444444,0.6406550653104175,0.5625,0.03107136438183806,0.0034965034965034965,0.023559067555704603,0.0034965034965034965,105.63333333333333
Inhoaiba,2,0.125,0.7075190909356036,0.4350453172205438,0.025873193556586394,0.0019425019425019425,0.021858770909766623,0.0019425019425019425,111.31666666666666
Ipanema,4,0.020833333333333332,0.318433503975654,0.21851289833080426,0.004960354757419455,0.0011655011655011655,0.020550237952296647,0.0011655011655011655,88.06666666666665
Iraja,1,0.2569444444444444,0.8135897604695164,0.47840531561461797,0.02941083238491205,0.0004856254856254856,0.011152663547734967,0.0004856254856254856,41.954761904761924
Itanhanga,0,0.013888888888888888,0.0,0.3582089552238806,0.007954923364151142,0.00019425019425019425,0.0031704904495119053,0.00019425019425019425,88.43333333333334
Jacare,1,0.3472222222222222,0.6532390999482692,0.5052631578947369,0.030381125824529582,0.008061383061383062,0.01893930081985723,0.008061383061383062,82.83333333333333
Jacarepagua,0,0.020833333333333332,0.30524872314793233,0.37017994858611825,0.010622080314624497,0.0017482517482517483,0.006325444970669596,0.0017482517482517483,38.070238095238096
Jacarezinho,1,0.10416666666666666,0.6696699616265254,0.40793201133144474,0.024623922446757873,0.0003885003885003885,0.01193585022015906,0.0003885003885003885,64.66666666666669
Jardim America,2,0.6388888888888888,0.516873466780411,0.62882096069869,0.031822859261595796,0.012043512043512044,0.03443286209995403,0.012043512043512044,76.40000000000002
Jardim Botanico,0,0.13194444444444445,0.616482559766347,0.4222873900293255,0.02605769852900799,0.0011655011655011655,0.030625078957921003,0.0011655011655011655,86.75
